basin_id,sum(msi_paras)
03428500,0.682021
04DB001,0.568419
06917380,0.632425
12452800,0.453383
08329928,0.596422
06349000,0.593323
06868200,0.612383
02380500,0.672949
07029500,0.680572
01130000,0.607727
12413000,0.550848
13075910,0.560504
02196484,0.693656
07047942,0.658741
06108800,0.604928
05542000,0.653520
02PD002,0.584280
01FB001,0.604788
03216500,0.677550
06608500,0.621275
04196500,0.668252
05325000,0.625320
06468170,0.582568
01539000,0.643728
06714000,0.601807
06279500,0.594647
08EC013,0.586512
11289650,0.478520
05458000,0.614818
13023000,0.459804
06307830,0.622466
03287500,0.704672
09067020,0.496819
06639000,0.563040
05338500,0.603607
07143672,0.605676
09511300,0.564407
03207800,0.677964
01402000,0.653444
02215500,0.698728
04031000,0.599517
01566000,0.651243
10039500,0.529765
02245050,0.671565
05211000,0.605337
03426310,0.710955
05420680,0.612308
03QC002,0.550917
02320000,0.696340
06718300,0.519860
02062500,0.674755
01030500,0.612678
06720500,0.604377
02314500,0.666358
01589000,0.669871
03410210,0.691848
03BD002,0.598781
02112250,0.680443
02479000,0.691106
02365200,0.680059
14316500,0.511042
06659502,0.530593
10322000,0.523253
01085500,0.625062
01048000,0.605920
02147020,0.697420
07328500,0.620920
02414500,0.692186
03376500,0.674547
08085500,0.593356
11522500,0.504776
04AB001,0.565087
01096500,0.637879
03357500,0.660690
04114500,0.647462
07144100,0.610118
01503000,0.660558
07AE001,0.596623
11451000,0.474262
11272500,0.501491
02118000,0.678072
04106906,0.659580
01529950,0.653129
04192500,0.668914
14201340,0.625967
02217475,0.672998
06421500,0.617554
03503000,0.679490
06905500,0.653046
01463500,0.654327
01638500,0.682108
09502800,0.517795
11303000,0.481186
07FD006,0.590615
03329000,0.673975
04AA004,0.556881
05554500,0.651228
06923250,0.650012
06478513,0.621713
12149000,0.612549
05BH009,0.600566
03314500,0.691709
02383500,0.687075
03571000,0.688107
05507800,0.658213
06218500,0.512935
07332500,0.621751
06227600,0.540286
03375500,0.666505
13069500,0.533032
04121300,0.623354
10132000,0.537052
01014000,0.598757
09404900,0.547516
06475000,0.608885
05502300,0.641613
05543500,0.672842
02327500,0.669082
11476500,0.507427
11458000,0.466136
03342000,0.684246
01AF007,0.608061
08070200,0.644480
08041500,0.658417
09205000,0.488006
05112000,0.589668
06701500,0.556069
02339500,0.702952
04056500,0.625654
03075070,0.690063
03467000,0.700803
08LG008,0.567617
06041000,0.525403
02443500,0.669801
01520500,0.644175
09277500,0.497765
07BB005,0.592867
02192500,0.665304
07292500,0.669730
08167000,0.590911
06758500,0.642761
05017500,0.518746
06899500,0.645368
06914100,0.625231
09349800,0.527982
06866900,0.596176
10028500,0.530908
07068000,0.672930
07149000,0.595898
06101500,0.617755
01080500,0.615569
01502500,0.651540
02073000,0.664506
08LB020,0.564571
05429500,0.619839
07174400,0.619975
06452320,0.593555
03048500,0.674099
13139500,0.444585
04101000,0.662406
04105000,0.654045
04108660,0.656098
02RC011,0.608024
08KC003,0.603617
02298123,0.663509
04206000,0.668555
06711500,0.595696
03281500,0.686084
02319394,0.683393
05353800,0.610716
08KC001,0.609303
09430500,0.571306
14076500,0.539811
08LF051,0.580497
01673000,0.671794
02312500,0.681512
05MH007,0.570093
14232500,0.521183
08CC001,0.529301
04292500,0.634989
03498500,0.694791
02175500,0.682350
07055608,0.659810
07014500,0.668927
01347000,0.637282
09518000,0.607235
10150500,0.560412
11136800,0.422232
06AD001,0.591848
09119000,0.522544
11133000,0.411566
06600100,0.600278
07105530,0.603591
08181800,0.604998
04122500,0.635317
05525500,0.659908
02066000,0.677753
01670400,0.662411
06228000,0.542993
04060993,0.614958
03340500,0.680670
09503700,0.538183
12189500,0.516370
01642190,0.664804
02441390,0.683930
09302000,0.536840
09169500,0.573089
05463000,0.612415
04293500,0.627809
02OG026,0.630570
01531500,0.661903
04218000,0.664397
08KE016,0.597581
02227500,0.675909
07377000,0.669280
03460795,0.682977
03361500,0.664195
01010000,0.601997
07105500,0.597607
05495000,0.642255
05464000,0.625724
02089500,0.691308
07363400,0.653763
01BQ001,0.605187
03253500,0.698958
08188800,0.642412
01636500,0.671975
03303000,0.678352
05356500,0.623751
03451500,0.689858
05476750,0.616385
02268903,0.688783
03345500,0.671992
07057500,0.655523
14202000,0.628534
03282000,0.694932
02YJ001,0.600346
08206600,0.601546
11471500,0.479032
05MD005,0.563317
03FA003,0.540177
11172175,0.463946
03601990,0.695120
07343200,0.642398
05RC001,0.589038
01BD002,0.590735
07331000,0.632728
04159492,0.653573
06354815,0.579214
12210500,0.558530
06882510,0.631002
01473500,0.659396
02423496,0.672653
11418000,0.488111
02337170,0.692798
02455900,0.680148
07EC002,0.560122
01403060,0.652048
02075045,0.677674
05495500,0.641894
10321950,0.522189
02134480,0.673247
02395980,0.688913
02155500,0.668516
02VB004,0.551093
05482000,0.628518
08NE006,0.515145
03029500,0.642209
08FF001,0.590163
02YA001,0.580166
02387500,0.691826
10109000,0.487377
05455500,0.635232
01018035,0.610537
01198125,0.634015
06334500,0.617775
06904010,0.636449
03201902,0.665926
13342450,0.613655
12414500,0.522507
07380120,0.680940
07064000,0.674152
05365500,0.626151
14166000,0.576934
01595800,0.656622
01112500,0.639372
03212500,0.698027
05482300,0.609424
02301500,0.664612
10131000,0.534128
11424000,0.494419
06037500,0.489642
03599500,0.692498
13183000,0.571687
01548005,0.649945
06465500,0.642526
02RF001,0.599006
07372050,0.671152
05497150,0.645329
06605850,0.607187
07151000,0.618924
07FC003,0.582146
02202600,0.665143
07147070,0.603595
02246025,0.679136
03050500,0.674824
06438500,0.642160
06465000,0.641581
03532000,0.693372
02331600,0.679590
08MA002,0.525165
06077200,0.599177
06922450,0.668077
06601200,0.669462
05OF020,0.581533
06882000,0.630062
08KH010,0.567340
02153551,0.685579
06360500,0.611256
04119000,0.661303
07288955,0.690502
03BC002,0.588024
11158600,0.447434
08LB064,0.563907
02422500,0.669644
01671020,0.667737
03434500,0.676960
07169500,0.621839
04232482,0.659634
03435305,0.675324
11109375,0.424546
12331500,0.568366
09180500,0.575066
11046000,0.448201
08MG013,0.547231
06452000,0.636570
06418900,0.616144
06339500,0.595988
07104000,0.605666
04235600,0.671801
06890100,0.619375
06901500,0.641490
05484650,0.625541
04084445,0.636773
07058000,0.650748
05LH005,0.584807
02437100,0.675454
03325000,0.671785
05395000,0.615688
11044000,0.445540
08319000,0.591826
02344500,0.677479
05MG001,0.557982
03531500,0.689110
07GG001,0.608110
01021500,0.602561
03584020,0.679772
01628500,0.665922
01563500,0.658007
02226500,0.670305
05280000,0.606716
05341500,0.618018
05497000,0.642741
05062500,0.587606
13302500,0.501391
03364000,0.671670
13247500,0.474964
09410100,0.529446
02173500,0.677883
11382000,0.463318
01631000,0.670061
07JD002,0.580678
05498000,0.643706
05418400,0.623989
03124500,0.670468
01536500,0.662358
02404400,0.680537
03065000,0.659414
09306290,0.564307
01129500,0.612944
05331580,0.630482
03333050,0.664965
01431500,0.633445
08NH005,0.535375
04130500,0.633810
05479000,0.614189
09058000,0.516073
03185400,0.689534
02217770,0.676822
03082500,0.672056
13038500,0.495859
03249500,0.692589
12039500,0.566651
02336000,0.684881
06126500,0.625653
09513910,0.484948
02318700,0.665910
02077500,0.667993
01545500,0.649982
01AP004,0.613730
01BH010,0.572048
04FA001,0.581651
02342500,0.677699
02AB021,0.602959
09209400,0.506677
11276600,0.443148
11383500,0.497206
07341200,0.642268
02PL007,0.622952
07030392,0.671018
06892000,0.636694
