basin_id,sum(fast_paras),sum(xSSA_sobol_indexes["paras"]["msi"]["Q"])
02314500,0.626365,0.666358
07106000,0.494971,0.610014
02134170,0.580883,0.680833
01473500,0.681687,0.659396
07105500,0.536492,0.597607
07GD001,-9999.000000,0.600769
07EC002,-9999.000000,0.560122
11152300,0.675787,0.445015
11136800,0.677657,0.422232
11413000,0.715681,0.455249
10251258,0.434810,0.450468
05131500,0.633903,0.613753
14366000,0.748120,0.525667
14362000,0.753634,0.508264
02054530,0.670213,0.660446
02246025,0.533142,0.679136
02353500,0.605317,0.672550
05385000,0.610081,0.621207
12035000,0.739567,0.647100
06019500,0.654338,0.558994
07054080,0.643877,0.650574
06307500,0.544802,0.600095
05459500,0.566213,0.613088
12340000,0.723683,0.539304
05481650,0.548272,0.626575
06752000,0.598093,0.590708
03050500,0.729747,0.674824
02294650,0.444948,0.663502
06867000,0.436779,0.609247
08379500,0.454675,0.594641
04260500,0.757750,0.629583
01BU002,-9999.000000,0.620413
04250200,0.761412,0.614136
08GE002,-9999.000000,0.537597
03183500,0.703872,0.665180
02323000,0.565685,0.703118
03402900,0.715421,0.685981
11345500,0.722119,0.509602
05502500,0.587975,0.646999
05587900,0.609740,0.660575
04MD004,-9999.000000,0.607967
02374250,0.635852,0.687103
02207335,0.637520,0.677775
06901500,0.600154,0.641490
02234500,0.473558,0.705768
10321950,0.606754,0.522189
02399200,0.695037,0.671899
02363000,0.630419,0.662829
03467609,0.679147,0.704925
08164000,0.560059,0.627350
14163150,0.742718,0.539784
02YL008,-9999.000000,0.580544
07FB001,-9999.000000,0.602134
02474600,0.639618,0.675527
08062000,0.555384,0.634173
02YL001,-9999.000000,0.591813
03459500,0.713858,0.676347
05412020,0.597716,0.622744
08332010,0.493449,0.606421
05484000,0.550576,0.620906
02162500,0.680118,0.681368
13077000,0.691961,0.547096
04GB004,-9999.000000,0.591716
03NF001,-9999.000000,0.525957
05594800,0.599482,0.667721
13265500,0.711625,0.527435
12017000,0.748324,0.656520
08180800,0.522173,0.599746
03159500,0.668676,0.671640
04174500,0.616103,0.661264
02423500,0.652172,0.672657
06926510,0.602226,0.674533
06340000,0.412833,0.585901
14337500,0.755709,0.550602
02483500,0.662370,0.679959
13329770,0.724988,0.483945
01054500,0.760541,0.610834
04209000,0.704658,0.663527
07050500,0.664135,0.656290
07288500,0.621704,0.671664
08330000,0.508486,0.597803
04268000,0.755273,0.631139
05399500,0.607810,0.613562
08OA002,-9999.000000,0.714386
07378500,0.641071,0.678525
06659500,0.719071,0.530593
03498850,0.709436,0.695295
02084000,0.619926,0.685809
13183000,0.626854,0.571687
02102000,0.633339,0.679883
05112000,0.586460,0.589668
06817700,0.558578,0.633308
05481300,0.546656,0.622983
07014500,0.663662,0.668927
06446000,0.436074,0.619891
02220900,0.640378,0.675230
14152000,0.749737,0.562044
05397500,0.644260,0.617500
11374000,0.728412,0.519949
01558000,0.707323,0.648438
14046500,0.700656,0.571833
03361500,0.636137,0.664195
04292000,0.751765,0.623046
02060500,0.657490,0.673535
07AF015,-9999.000000,0.599866
11476500,0.734179,0.507427
08NK018,-9999.000000,0.545823
07074420,0.659981,0.682284
07184000,0.592311,0.636315
05KB003,-9999.000000,0.564810
06918740,0.620744,0.650624
02GC002,-9999.000000,0.652375
06752260,0.584377,0.600579
13331450,0.727596,0.515158
05418500,0.589905,0.629578
08057410,0.519147,0.629618
02320000,0.577421,0.696340
02054510,0.669908,0.660453
05290000,0.531473,0.592501
01177000,0.737511,0.632235
04NB001,-9999.000000,0.610444
07053500,0.646303,0.668682
06218500,0.761764,0.512935
03339500,0.626707,0.669610
05522500,0.599293,0.651025
06327500,0.477055,0.646955
04103500,0.632464,0.651021
07325500,0.478577,0.602632
05433000,0.616283,0.624284
03410210,0.708349,0.691848
06335500,0.434024,0.619963
06281000,0.706825,0.538184
07108900,0.470989,0.612350
05420680,0.590164,0.612308
02024752,0.687999,0.678202
04107850,0.639184,0.657402
02175000,0.583438,0.695326
03404500,0.706838,0.688920
01625000,0.652352,0.653064
13075000,0.677715,0.566373
08173900,0.523720,0.624723
13075910,0.688370,0.560504
12462500,0.718222,0.474798
08279000,0.608963,0.561265
04249000,0.702665,0.668814
04232000,0.699542,0.663700
09442000,0.480215,0.582759
09444200,0.561958,0.584341
13213000,0.685203,0.511921
08068500,0.562552,0.644186
06208500,0.538447,0.598204
02361000,0.621687,0.664469
14155500,0.756645,0.590351
04117500,0.650023,0.650773
05061500,0.527658,0.592893
02331600,0.701450,0.679590
12370000,0.764427,0.533598
01389500,0.715609,0.646229
06016000,0.642426,0.558499
10337500,0.695415,0.448666
01638500,0.677568,0.682108
06317000,0.458766,0.615047
05592000,0.601486,0.669875
06AD001,-9999.000000,0.591848
01EC001,-9999.000000,0.626530
04031000,0.723366,0.599517
07GE001,-9999.000000,0.601362
02304500,0.476498,0.675191
05465500,0.575310,0.646123
06800500,0.482666,0.626691
02148315,0.635927,0.702946
07AA004,-9999.000000,0.544810
07106500,0.467625,0.614903
04073500,0.578308,0.635363
04114500,0.611313,0.647462
01465500,0.667539,0.657610
08066500,0.552242,0.677608
01049265,0.755838,0.612594
07327550,0.493110,0.591782
07324400,0.461938,0.585000
13342450,0.674278,0.613655
01552000,0.734283,0.643010
09364500,0.644258,0.541612
13015000,0.759991,0.459407
02232400,0.469508,0.684878
03342500,0.631865,0.661739
03320500,0.673853,0.672642
06874000,0.447855,0.604003
07EE007,-9999.000000,0.602679
14312000,0.752891,0.584723
03189100,0.736490,0.669155
04156000,0.635681,0.637669
03427500,0.677407,0.675332
11186001,0.709061,0.390012
07AG003,-9999.000000,0.599877
05490500,0.554829,0.647789
13023000,0.761090,0.459804
08284100,0.718812,0.505980
07211000,0.497807,0.608498
05489500,0.553423,0.644550
03253500,0.666659,0.698958
06436760,0.450165,0.596280
13185000,0.735327,0.448758
04AD002,-9999.000000,0.566698
11152500,0.675951,0.445491
09246400,0.724134,0.552775
01010000,0.760962,0.601997
13249500,0.740509,0.488135
01170500,0.749982,0.627382
02131500,0.604554,0.674393
02YN002,-9999.000000,0.585835
10113500,0.749069,0.515802
08KA004,-9999.000000,0.581007
04265432,0.745000,0.642864
06436000,0.494698,0.626139
03540500,0.708016,0.690600
08019200,0.589858,0.651272
06932000,0.658805,0.654638
08050100,0.540708,0.601109
07166000,0.528415,0.616441
01547200,0.702482,0.650924
13055340,0.729232,0.532435
06445700,0.436754,0.614501
01667500,0.661408,0.658591
02397000,0.677675,0.695409
09413700,0.526853,0.566489
04195500,0.612427,0.656824
02169500,0.646970,0.694564
03428500,0.656771,0.682021
02384500,0.695682,0.687785
11134000,0.691268,0.412407
03285000,0.654564,0.688061
05TG002,-9999.000000,0.555213
03284500,0.678234,0.702922
01589000,0.661349,0.669871
05AB005,-9999.000000,0.590536
03498500,0.714490,0.694791
13056500,0.724821,0.533809
08062500,0.527518,0.637458
12189500,0.726893,0.516370
06888350,0.435491,0.657437
05327000,0.531588,0.605251
02427250,0.650308,0.662644
07335000,0.575076,0.627814
11108500,0.661999,0.423085
04293500,0.756324,0.627809
08036500,0.614215,0.651643
07144780,0.442982,0.597312
05502300,0.587200,0.641613
05517000,0.627274,0.667655
04208000,0.676425,0.673138
01AL002,-9999.000000,0.612757
09306290,0.649326,0.564307
08NJ013,-9999.000000,0.533433
08019500,0.604298,0.627077
07024500,0.646155,0.658297
06904050,0.586528,0.638503
06188000,0.762623,0.500672
04151500,0.634376,0.657035
13127000,0.715161,0.478174
11022480,0.625333,0.444966
05RE001,-9999.000000,0.574625
06725450,0.611062,0.595469
05319500,0.534572,0.611129
01EO001,-9999.000000,0.626017
08JE001,-9999.000000,0.595041
01315500,0.762243,0.610190
05NF010,-9999.000000,0.564838
10297500,0.714945,0.463458
09502800,0.532878,0.517795
06653500,0.511820,0.586796
11517500,0.729180,0.511122
02315550,0.595221,0.677083
09301500,0.517137,0.517660
06891000,0.440378,0.660793
06889000,0.437089,0.658660
09306222,0.670211,0.573963
01674000,0.669365,0.661063
07EA002,-9999.000000,0.572510
06869950,0.506873,0.589319
03192000,0.720541,0.677457
02349605,0.628729,0.691996
05586100,0.598487,0.682787
05084000,0.483680,0.566029
02087183,0.643757,0.674058
02312700,0.461457,0.664420
08CG003,-9999.000000,0.530531
03200500,0.680337,0.685039
10092700,0.674863,0.544660
05506500,0.597942,0.651814
04069500,0.645562,0.628196
02232500,0.469943,0.689023
03360500,0.629579,0.678051
06652000,0.556489,0.601665
11323500,0.717569,0.480008
01172003,0.748959,0.628780
02148000,0.639559,0.701441
03327500,0.608757,0.672611
02474500,0.641928,0.673815
07359002,0.667004,0.666212
06922450,0.592037,0.668077
08040600,0.617531,0.673518
08HB002,-9999.000000,0.625353
06DA002,-9999.000000,0.534493
14157500,0.751413,0.606012
08ND013,-9999.000000,0.507475
09260050,0.617944,0.565113
09174600,0.702852,0.556930
12098500,0.712718,0.553884
08071280,0.615979,0.637891
05053000,0.507403,0.592080
05TF002,-9999.000000,0.547601
06906300,0.607775,0.645516
07026040,0.641604,0.666159
08NG065,-9999.000000,0.550368
07AF013,-9999.000000,0.582286
02359000,0.591099,0.678111
02422500,0.648851,0.669644
14184100,0.739832,0.559269
04069416,0.646494,0.627990
03198500,0.679088,0.682167
05UA003,-9999.000000,0.560861
09168730,0.663493,0.557145
04119000,0.637486,0.661303
05061000,0.553147,0.586694
09510000,0.543254,0.563679
06290500,0.634646,0.563314
01327750,0.757194,0.619532
07343200,0.590513,0.642398
12411000,0.754232,0.536640
08MB006,-9999.000000,0.525258
02479130,0.625357,0.664095
02083000,0.631085,0.666608
07083710,0.733391,0.492621
05JM010,-9999.000000,0.573672
05092000,0.520910,0.607956
09306200,0.680499,0.569210
01BH007,-9999.000000,0.572167
04115000,0.621962,0.653375
02321975,0.516569,0.674526
13171620,0.645041,0.579426
05AA028,-9999.000000,0.555452
14162500,0.741239,0.532041
12210700,0.737047,0.558545
02083500,0.622894,0.682661
01673000,0.664174,0.671794
03308500,0.672549,0.692971
10317500,0.657413,0.503600
05CK007,-9999.000000,0.564422
02OD003,-9999.000000,0.628130
01670400,0.663205,0.662411
08057000,0.519847,0.628946
01642190,0.662493,0.664804
04114000,0.621448,0.661072
06817000,0.556589,0.627220
08034500,0.599954,0.639597
08012150,0.603151,0.676921
02PC009,-9999.000000,0.615306
03599500,0.674413,0.692498
07030392,0.668088,0.671018
02016500,0.698106,0.673611
01427510,0.742698,0.638412
02353265,0.607300,0.673068
03205470,0.671609,0.677311
07143672,0.492815,0.605676
10321590,0.579774,0.518136
02PE009,-9999.000000,0.591648
13310700,0.742175,0.479507
08053000,0.537894,0.622210
05OE007,-9999.000000,0.581563
05451500,0.565787,0.622752
02173500,0.592362,0.677883
07097000,0.518095,0.581627
09304800,0.722500,0.523208
05506350,0.597476,0.651813
06923950,0.641447,0.650872
04282500,0.743090,0.629923
07056000,0.680877,0.652971
02338000,0.662154,0.695550
03366500,0.669624,0.677057
01551500,0.722280,0.651142
06354000,0.438301,0.599884
12413470,0.743889,0.541863
01518000,0.725664,0.633630
07065495,0.655677,0.650900
02196000,0.639512,0.661957
12391950,0.721832,0.555563
12414500,0.744259,0.522507
13037500,0.752256,0.493902
10350400,0.694541,0.483311
03041029,0.714530,0.664434
12392000,0.721837,0.555562
01127000,0.741788,0.644515
09496500,0.593210,0.571653
12106700,0.744449,0.582237
01671025,0.663585,0.667739
03194700,0.737300,0.670718
01EN002,-9999.000000,0.621613
02361500,0.613617,0.672571
07093775,0.436608,0.557158
03152000,0.705422,0.681133
11475000,0.735508,0.502203
06085800,0.650821,0.567086
09093700,0.722910,0.535674
13022500,0.755231,0.476724
06299980,0.640950,0.569081
06026500,0.633973,0.565879
08188500,0.503017,0.621603
13302500,0.718415,0.501391
06865500,0.405307,0.629712
01135500,0.744356,0.620934
02077000,0.660749,0.663486
01160350,0.751325,0.616440
03473000,0.706696,0.673681
06921760,0.588949,0.649918
05481950,0.555855,0.623035
13345000,0.747475,0.569505
06926500,0.602165,0.674534
05082500,0.525015,0.608222
04273500,0.742602,0.642512
07087050,0.723632,0.482658
07292500,0.656761,0.669730
02RH045,-9999.000000,0.601983
05RC001,-9999.000000,0.589038
04029990,0.713419,0.596968
08012000,0.621696,0.672078
02365200,0.617224,0.680059
14231000,0.725276,0.540085
03339000,0.608380,0.667201
01027200,0.761613,0.598870
03072655,0.715638,0.686354
06933500,0.653365,0.668571
06411500,0.646487,0.609987
06918460,0.619557,0.643426
06787000,0.417264,0.608248
07180400,0.531065,0.608592
06212500,0.567565,0.608966
06036905,0.763627,0.482516
02473000,0.645961,0.679825
02140991,0.676678,0.684965
07326500,0.481005,0.606283
04MF001,-9999.000000,0.607300
02225000,0.620910,0.702569
06707500,0.553741,0.564372
12395500,0.724813,0.557690
02PJ007,-9999.000000,0.620615
06481500,0.511458,0.591487
01610000,0.697907,0.676597
02421000,0.633999,0.672645
04106000,0.635033,0.658983
05341500,0.575729,0.618018
03014500,0.731753,0.653036
07188885,0.620229,0.641796
08065000,0.543163,0.653637
04147500,0.623906,0.646205
11463980,0.721063,0.484023
02026000,0.684772,0.680144
01571500,0.699639,0.651106
04062011,0.674330,0.616441
03527000,0.671479,0.702153
06FD002,-9999.000000,0.520935
08028500,0.618983,0.692197
05551000,0.604646,0.641878
03408500,0.716337,0.681843
03117500,0.652935,0.670811
07175500,0.552477,0.627264
07FD006,-9999.000000,0.590615
01437500,0.744272,0.625936
11218400,0.719169,0.437933
03083500,0.711410,0.679745
06071300,0.613502,0.604899
02226100,0.553320,0.652727
06354882,0.461399,0.577040
08068000,0.571708,0.642664
05LE006,-9999.000000,0.565944
09408150,0.587393,0.569556
02437100,0.668227,0.675454
08NE039,0.749429,0.553889
08171000,0.531981,0.593858
05542000,0.603767,0.653520
11180700,0.672967,0.471122
03165500,0.697075,0.669870
03275600,0.639651,0.661329
02215500,0.617887,0.698728
12424000,0.718991,0.599047
09237500,0.741058,0.506140
11482500,0.738343,0.552287
06885500,0.535061,0.613091
03280000,0.682546,0.690191
05055300,0.462272,0.580800
07106300,0.476528,0.612537
09504500,0.629057,0.540765
02RC011,-9999.000000,0.608024
04125460,0.682840,0.629504
03270500,0.621545,0.673738
09497500,0.618785,0.583778
01529500,0.712576,0.651007
09518000,0.457440,0.607235
03357500,0.637366,0.660690
14210000,0.748183,0.548975
07288955,0.640459,0.690502
02051500,0.655013,0.676291
12039500,0.732999,0.566651
05KF001,-9999.000000,0.574526
05498150,0.584256,0.643699
05286000,0.554962,0.609474
06336000,0.426055,0.625652
04198000,0.622224,0.668857
13105000,0.639256,0.545502
06482020,0.512960,0.601997
05331000,0.543213,0.630200
09081000,0.753915,0.510403
02112000,0.682714,0.678338
05412500,0.598153,0.625078
03049500,0.722753,0.669141
02PB006,-9999.000000,0.594749
04180000,0.620882,0.652423
01463500,0.725976,0.654327
12344000,0.746214,0.522748
08086212,0.455262,0.580237
10016900,0.703271,0.505205
06109500,0.548186,0.628496
06720500,0.531887,0.604377
03426310,0.688042,0.710955
