lon ; lat 
 -85.29546770; 40.05132396 
 -85.29511518; 40.05129387 
 -85.29515506; 40.05102781 
 -85.29519494; 40.05076175 
 -85.29484242; 40.05073166 
 -85.29448990; 40.05070156 
 -85.29452978; 40.05043550 
 -85.29417727; 40.05040540 
 -85.29421715; 40.05013935 
 -85.29386463; 40.05010925 
 -85.29351212; 40.05007915 
 -85.29355200; 40.04981309 
 -85.29319949; 40.04978299 
 -85.29323938; 40.04951694 
 -85.29288686; 40.04948683 
 -85.29292675; 40.04922078 
 -85.29257424; 40.04919068 
 -85.29261413; 40.04892462 
 -85.29226162; 40.04889452 
 -85.29190911; 40.04886441 
 -85.29194900; 40.04859836 
 -85.29159650; 40.04856825 
 -85.29163638; 40.04830220 
 -85.29128388; 40.04827209 
 -85.29093138; 40.04824198 
 -85.29097127; 40.04797593 
 -85.29061877; 40.04794582 
 -85.29026626; 40.04791571 
 -85.29030616; 40.04764966 
 -85.28995366; 40.04761955 
 -85.28960116; 40.04758943 
 -85.28924866; 40.04755932 
 -85.28928856; 40.04729327 
 -85.28893606; 40.04726315 
 -85.28858356; 40.04723304 
 -85.28823106; 40.04720292 
 -85.28787857; 40.04717281 
 -85.28752607; 40.04714269 
 -85.28717357; 40.04711257 
 -85.28682108; 40.04708245 
 -85.28678117; 40.04734850 
 -85.28642867; 40.04731838 
 -85.28638876; 40.04758444 
 -85.28603627; 40.04755431 
 -85.28599636; 40.04782037 
 -85.28564386; 40.04779024 
 -85.28529136; 40.04776012 
 -85.28493886; 40.04772999 
 -85.28458636; 40.04769987 
 -85.28423386; 40.04766974 
 -85.28427378; 40.04740369 
 -85.28392128; 40.04737356 
 -85.28356879; 40.04734343 
 -85.28321629; 40.04731330 
 -85.28325621; 40.04704725 
 -85.28290372; 40.04701712 
 -85.28294364; 40.04675107 
 -85.28259115; 40.04672094 
 -85.28223865; 40.04669081 
 -85.28227858; 40.04642476 
 -85.28192609; 40.04639462 
 -85.28157359; 40.04636449 
 -85.28161352; 40.04609844 
 -85.28126103; 40.04606830 
 -85.28090854; 40.04603817 
 -85.28055605; 40.04600803 
 -85.28020357; 40.04597789 
 -85.27985108; 40.04594775 
 -85.27949859; 40.04591761 
 -85.27914610; 40.04588747 
 -85.27879362; 40.04585733 
 -85.27875368; 40.04612338 
 -85.27840119; 40.04609324 
 -85.27836126; 40.04635929 
 -85.27832132; 40.04662534 
 -85.27796883; 40.04659519 
 -85.27792889; 40.04686124 
 -85.27757640; 40.04683110 
 -85.27753646; 40.04709715 
 -85.27718397; 40.04706700 
 -85.27714402; 40.04733305 
 -85.27679153; 40.04730290 
 -85.27643904; 40.04727275 
 -85.27608655; 40.04724260 
 -85.27573405; 40.04721245 
 -85.27538156; 40.04718230 
 -85.27542151; 40.04691625 
 -85.27506902; 40.04688610 
 -85.27502907; 40.04715215 
 -85.27467658; 40.04712199 
 -85.27463663; 40.04738804 
 -85.27459667; 40.04765409 
 -85.27455672; 40.04792014 
 -85.27420423; 40.04788999 
 -85.27416427; 40.04815603 
 -85.27412432; 40.04842208 
 -85.27408437; 40.04868813 
 -85.27404441; 40.04895418 
 -85.27369191; 40.04892402 
 -85.27365195; 40.04919007 
 -85.27329945; 40.04915991 
 -85.27325950; 40.04942596 
